"id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","accommodates","bedrooms","beds","price","min_nights","max_nights","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","carbon_monoxide_alarm","stove","hot_water","security_cameras","wifi","heating","fire_extinguisher","free_parking","coffee_maker","kitchen","smoke_alarm","dryer","private_entrance","hair_dryer","TV","waterfront","host_greeting","mean_review"
21789791,158787892,NA,NA,NA,"0",1,"Private room",2,1,1,30,2,1125,12,4.73,4.91,4.55,4.91,5,4.91,4.55,"0","0",0.27,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.79428571428571
22922084,89466606,NA,NA,NA,"0",1,"Private room",2,1,1,30,2,60,1,4,4,4,4,4,3,4,"0","0",0.02,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.85714285714286
25203051,190420555,NA,NA,NA,"0",1,"Private room",1,1,1,30,1,4,5,4,3.6,4.4,4.2,4.4,3.6,3.8,"0","0",0.13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4
25339777,2109728,NA,NA,NA,"0",1,"Entire home/apt",2,1,1,30,7,60,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
25423601,191921362,NA,NA,NA,"0",1,"Private room",1,1,1,30,12,21,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
28075122,60041757,NA,NA,NA,"0",3,"Private room",1,1,1,30,2,1125,35,4.74,4.97,4.94,4.97,4.76,4.65,4.71,"0","0",1.05,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.82
28382281,29268751,"within a few hours","90%","80%","0",3,"Private room",1,1,1,30,1,1125,12,4.92,5,4.92,4.83,4.92,4.83,4.75,"1","0",0.42,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.88142857142857
35855352,251479377,"within an hour","100%","99%","0",6,"Shared room",1,1,2,30,1,1125,84,4.65,4.79,4.63,4.8,4.79,4.63,4.57,"1","1",3.62,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.69428571428571
36714373,162110673,NA,NA,NA,"0",1,"Private room",1,1,1,30,15,30,0,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
37847870,12294353,NA,NA,NA,"0",3,"Private room",1,NA,0,30,1,1125,5,4.2,4.8,4,4.6,4.6,4.2,4,"0","0",0.24,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",4.34285714285714
38632941,136557289,"within an hour","100%","100%","0",2,"Private room",2,1,1,30,3,1125,28,4.69,4.96,4.73,5,4.96,4.46,4.58,"1","1",1.27,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.76857142857143
40715664,181701231,NA,NA,NA,"0",0,"Private room",2,1,NA,30,1,7,5,3.75,4.5,4.75,4,4,4.25,3.5,"0","1",0.25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.10714285714286
42814189,236326892,NA,NA,NA,"0",0,"Private room",1,1,1,30,1,1125,0,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
43906128,267653756,"within a day","100%","75%","0",0,"Private room",1,1,2,30,25,80,1,5,5,5,5,5,5,5,"1","0",0.41,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5
43913262,209053416,NA,NA,"33%","0",0,"Private room",2,1,1,30,1,1125,22,4.64,4.86,4.68,5,5,4.64,4.82,"0","0",1.68,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.80571428571429
44047539,257027269,NA,NA,NA,"0",0,"Private room",1,1,1,30,3,12,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
